"App","Participant","Condition","Session","Group","TaskType","SelectionMethod","Block","SRC","Trials","A","W","ID","Ae","We","IDe(bits)","PT(ms)","ST(ms)","MT(ms)","ER(%)","TP(bps)","TRE","TAC","MDC","ODC","MV","ME","MO","file_name"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,80,3.45943161644103,795.291710387078,54.6673276771174,3.95864255426133,530.8,79.1333333333333,610.466666666667,0,6.48461704858796,0.0666666666666667,0.466666666666667,2.33333333333333,0.933333333333333,13.9328068487079,18.5565595869882,-3.36297403235515,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,20,5.93073733379767,1196.82567080134,16.8432483507676,6.17106070332375,1150.26666666667,86.4,1237.13333333333,13.3333333333333,4.98819370317704,0.2,1.26666666666667,3.06666666666667,1.46666666666667,30.2950200545338,31.9421095888694,9.64393629822531,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,40,4.39231741999023,795.386733924079,33.5987351004314,4.62486798489019,765,70.4,835.866666666667,0,5.53302119742805,0.0666666666666667,0.8,2.06666666666667,0.466666666666667,12.3521140985065,14.878427596024,-7.36139934806921,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,800,20,5.35755200121676,796.289410033647,10.2909052232818,6.29237639561197,943.133333333333,67,1010.6,0,6.2263768015159,0.0666666666666667,0.733333333333333,2.6,0.933333333333333,16.1808097159502,19.797530012624,-1.6032495268171,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,20,4.39231741999023,396.527362013802,16.6911851324911,4.62974670765561,772.333333333333,77.8,850.733333333333,0,5.44206571701545,0,0.2,1.8,0.6,11.6301063984056,16.009575202531,0.391834580385124,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,40,3.45943161644103,392.022005062876,26.7439479741961,3.96885979029734,576.533333333333,77.1333333333333,654.133333333333,0,6.06735597782921,0.0666666666666667,0.533333333333333,1.4,0.733333333333333,9.48746204944545,14.0512662540753,-6.43202621556807,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,400,80,2.58496249908006,386.875521476662,63.3159366485116,2.8298981043086,419,64.9333333333333,484.333333333333,0,5.84287289258486,0.0666666666666667,0.6,1.6,0.6,8.34635557283711,11.3053376037364,1.02771023908766,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,80,3.99999999746054,1191.83277564407,66.4399473662911,4.24324990822576,619.933333333333,72.5333333333333,693.066666666667,6.66666666666667,6.12242676254197,0,1.4,2.86666666666667,0.8,15.5449969707359,18.1053294755837,-4.24670619440549,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C01","S00","G00",2,"MB","B02",0,15,1200,40,4.95419630724163,1196.31743303259,28.7407221140479,5.41361011371711,725.2,77.4666666666667,803.266666666667,0,6.73949304554375,0.133333333333333,1.06666666666667,2.66666666666667,1.2,15.3706064593657,19.3568871936366,7.15966864902617,"FittsTask-P00-C01-S00-G00-2D-MB-B02.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,800,40,4.39231741999023,793.23255693719,35.6988846466965,4.53730187740214,731.066666666667,83.9333333333333,815.733333333333,0,5.56223669181367,0,0.6,2.06666666666667,1.13333333333333,21.647718789739,27.4114960904992,-2.49112168199183,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,1200,20,5.93073733379767,1192.17147228907,13.4916394723382,6.48161735729171,922.866666666667,82.9333333333333,1006.33333333333,0,6.44082546269464,0.0666666666666667,0.8,2.2,1.66666666666667,28.7583371743152,36.4588357561095,-2.41114886766794,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,800,80,3.45943161644103,780.2736526099,85.0119662764665,3.34743858875892,547.066666666667,74,621.533333333333,6.66666666666667,5.38577483979232,0,0.733333333333333,2.26666666666667,1.2,14.5262232151285,19.9559937635717,3.36216888933961,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,1200,40,4.95419630724163,1190.15874622478,20.093816356548,5.91241273826345,752.133333333333,81.0666666666667,833.733333333333,0,7.09149137005851,0,0.533333333333333,2.33333333333333,1.53333333333333,19.2668818539934,26.9626395383617,4.47770321898579,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,400,40,3.45943161644103,391.612899625997,47.2757812121764,3.21468185739258,491.4,68.6666666666667,560.6,6.66666666666667,5.73435936031499,0.133333333333333,0.533333333333333,1.6,1.06666666666667,9.08230729287628,11.8726431435615,0.769314117909015,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,800,20,5.35755200121676,794.233647147477,13.2285206757955,5.93167102128038,831.133333333333,71.5333333333333,903.2,0,6.56739484198448,0.0666666666666667,0.533333333333333,2.13333333333333,1.13333333333333,15.890781004044,18.1944171727646,6.75843980314121,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,400,20,4.39231741999023,395.721349109102,15.9326092749922,4.69137763512136,739.266666666667,76.0666666666667,815.733333333333,0,5.75111674786045,0.2,0.333333333333333,1.6,0.666666666666667,9.95173590498581,11.2364336551027,-0.231846721715752,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,400,80,2.58496249908006,389.134845476672,49.4848716574822,3.14791122247724,375.666666666667,65,441.133333333333,0,7.13596317623676,0,0.6,1.93333333333333,0.8,8.93473560148114,11.6704569954432,1.39295648294996,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C02","S00","G00",2,"MB","B01",0,15,1200,80,3.99999999746054,1178.18262377027,59.0748548517347,4.38845777014359,574.6,63.3333333333333,638.4,0,6.87415064245549,0,1.13333333333333,1.86666666666667,0.933333333333333,22.699618646937,26.8929002620873,-8.54642957550254,"FittsTask-P00-C02-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,800,80,3.45943161644103,798.253381836117,55.2516188810942,3.949310962147,568.533333333333,84.2666666666667,653.2,0,6.04609761504439,0.0666666666666667,0.733333333333333,2,1.13333333333333,23.0044707495523,32.5306468464799,-8.8326566258497,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,400,40,3.45943161644103,394.675997906277,41.2264495344167,3.40236317652517,509.666666666667,78.4666666666667,588.466666666667,0,5.78174324774867,0.2,0.333333333333333,1.46666666666667,0.933333333333333,9.90288689017768,12.9934657514791,-3.88730974740795,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,1200,40,4.95419630724163,1186.245819891,31.0821673757566,5.29148700810109,721.866666666667,71.7333333333333,794,0,6.66434132002657,0,0.866666666666667,2.53333333333333,1.13333333333333,23.0517271350761,26.7607948244944,4.65753138354887,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,800,20,5.35755200121676,798.750873015626,15.6971647985392,5.69724674335587,825.333333333333,70.3333333333333,896.2,0,6.35711531282735,0.266666666666667,0.866666666666667,2.6,1.4,16.4875762607791,17.2346856738176,-3.66948638563816,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,400,20,4.39231741999023,395.680462851166,19.9832078301708,4.37855656074415,779.6,71.7333333333333,851.8,0,5.14035754959398,0.133333333333333,0.466666666666667,1.66666666666667,0.933333333333333,10.4956235490393,12.8090759245105,-0.663571062893939,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,1200,80,3.99999999746054,1178.84359750352,69.8013417086856,4.16096471420166,581.6,71.3333333333333,653.466666666667,0,6.36752404744184,0,1,2.33333333333333,0.8,18.5581778747947,22.9228627414835,3.22234019836305,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,1200,20,5.93073733379767,1199.70406231132,14.0567554251654,6.43207670899677,877.866666666667,70.9333333333333,949.133333333333,6.66666666666667,6.77678939628795,0.0666666666666667,0.733333333333333,2.33333333333333,1.13333333333333,22.0684384611494,24.3046715579048,2.23733879875801,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,400,80,2.58496249908006,381.951330698954,61.2073816662081,2.85604591583417,413.866666666667,76.2666666666667,490.6,0,5.82153672204273,0,0.466666666666667,1.46666666666667,0.866666666666667,9.94278038605276,15.1948045364716,0.800251108175457,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
"FittsTask","P00","C03","S00","G00",2,"MB","B01",0,15,800,40,4.39231741999023,789.149340904557,37.5064894288934,4.46207466072859,629.333333333333,78.8666666666667,708.666666666667,6.66666666666667,6.29643649209114,0,0.733333333333333,2.33333333333333,0.666666666666667,13.7702564573854,16.3932587673934,0.993771750144977,"FittsTask-P00-C03-S00-G00-2D-MB-B01.sd2"
